              mu	           sigma	          energy	      acceptance	
        0.772785	        0.607523	    -4.46433e+11	               0	
        0.772785	        0.607523	    -4.46433e+11	               0	
        0.772785	        0.607523	    -4.46433e+11	               0	
        0.772785	        0.607523	    -4.46433e+11	               0	
        0.772785	        0.607523	    -4.46433e+11	               0	
        0.772785	        0.607523	    -4.46433e+11	               0	
        0.772785	        0.607523	    -4.46433e+11	               0	
        0.772785	        0.607523	    -4.46433e+11	               0	
        0.772785	        0.607523	    -4.46433e+11	               0	
        0.772785	        0.607523	    -4.46433e+11	               0	
        0.772785	        0.607523	    -4.46433e+11	               0	
        0.772785	        0.607523	    -4.46433e+11	               0	
        0.772785	        0.607523	    -4.46433e+11	               0	
        0.772785	        0.607523	    -4.46433e+11	               0	
        0.772785	        0.607523	    -4.46433e+11	               0	
        0.772785	        0.607523	    -4.46433e+11	               0	
        0.772785	        0.607523	    -4.46433e+11	               0	
        0.772785	        0.607523	    -4.46433e+11	               0	
        0.772785	        0.607523	    -4.46433e+11	               0	
        0.772785	        0.607523	    -4.46433e+11	               0	
        0.772785	        0.607523	    -4.46433e+11	               0	
        0.772785	        0.607523	    -4.46433e+11	               0	
        0.772785	        0.607523	    -4.46433e+11	               0	
        0.772785	        0.607523	    -4.46433e+11	               0	
        0.772785	        0.607523	    -4.46433e+11	               0	
        0.772785	        0.607523	    -4.46433e+11	               0	
        0.772785	        0.607523	    -4.46433e+11	               0	
        0.772785	        0.607523	    -4.46433e+11	               0	
        0.772785	        0.607523	    -4.46433e+11	               0	
        0.772785	        0.607523	    -4.46433e+11	               0	
        0.772785	        0.607523	    -4.46433e+11	               0	
        0.772785	        0.607523	    -4.46433e+11	               0	
        0.772785	        0.607523	    -4.46433e+11	               0	
        0.772785	        0.607523	    -4.46433e+11	               0	
        0.772785	        0.607523	    -4.46433e+11	               0	
        0.772785	        0.607523	    -4.46433e+11	               0	
        0.772785	        0.607523	    -4.46433e+11	               0	
        0.772785	        0.607523	    -4.46433e+11	               0	
        0.772785	        0.607523	    -4.46433e+11	               0	
        0.772785	        0.607523	    -4.46433e+11	               0	
        0.772785	        0.607523	    -4.46433e+11	               0	
        0.772785	        0.607523	    -4.46433e+11	               0	
        0.772785	        0.607523	    -4.46433e+11	               0	
        0.772785	        0.607523	    -4.46433e+11	               0	
        0.772785	        0.607523	    -4.46433e+11	               0	
        0.772785	        0.607523	    -4.46433e+11	               0	
        0.772785	        0.607523	    -4.46433e+11	               0	
        0.772785	        0.607523	    -4.46433e+11	               0	
        0.772785	        0.607523	    -4.46433e+11	               0	
        0.772785	        0.607523	    -4.46433e+11	               0	
        0.772785	        0.607523	    -4.46433e+11	               0	
        0.772785	        0.607523	    -4.46433e+11	               0	
        0.772785	        0.607523	    -4.46433e+11	               0	
        0.772785	        0.607523	    -4.46433e+11	               0	
        0.772785	        0.607523	    -4.46433e+11	               0	
        0.772785	        0.607523	    -4.46433e+11	               0	
        0.772785	        0.607523	    -4.46433e+11	               0	
        0.772785	        0.607523	    -4.46433e+11	               0	
        0.772785	        0.607523	    -4.46433e+11	               0	
        0.772785	        0.607523	    -4.46433e+11	               0	
        0.772785	        0.607523	    -4.46433e+11	               0	
        0.772785	        0.607523	    -4.46433e+11	               0	
        0.772785	        0.607523	    -4.46433e+11	               0	
        0.772785	        0.607523	    -4.46433e+11	               0	
        0.772785	        0.607523	    -4.46433e+11	               0	
        0.772785	        0.607523	    -4.46433e+11	               0	
        0.772785	        0.607523	    -4.46433e+11	               0	
        0.772785	        0.607523	    -4.46433e+11	               0	
        0.772785	        0.607523	    -4.46433e+11	               0	
        0.772785	        0.607523	    -4.46433e+11	               0	
        0.772785	        0.607523	    -4.46433e+11	               0	
        0.772785	        0.607523	    -4.46433e+11	               0	
        0.772785	        0.607523	    -4.46433e+12	               0	
        0.772785	        0.607523	    -4.46433e+12	               0	
        0.772785	        0.607523	    -4.46433e+12	               0	
        0.772785	        0.607523	    -4.46433e+12	               0	
        0.772785	        0.607523	    -4.46433e+12	               0	
        0.772785	        0.607523	    -4.46433e+12	               0	
        0.772785	        0.607523	    -4.46433e+12	               0	
        0.772785	        0.607523	    -4.46433e+12	               0	
        0.772785	        0.607523	    -4.46433e+12	               0	
        0.772785	        0.607523	    -4.46433e+12	               0	
        0.772785	        0.607523	    -4.46433e+12	               0	
        0.772785	        0.607523	    -4.46433e+12	               0	
        0.772785	        0.607523	    -4.46433e+12	               0	
        0.772785	        0.607523	    -4.46433e+12	               0	
        0.772785	        0.607523	    -4.46433e+12	               0	
        0.772785	        0.607523	    -4.46433e+12	               0	
        0.772785	        0.607523	    -4.46433e+12	               0	
        0.772785	        0.607523	    -4.46433e+12	               0	
        0.772785	        0.607523	    -4.46433e+12	               0	
        0.772785	        0.607523	    -4.46433e+12	               0	
        0.817378	        0.619481	    -4.46763e+12	        0.047619	
        0.817378	        0.619481	    -4.46763e+12	       0.0454545	
        0.817378	        0.619481	    -4.46763e+12	       0.0434783	
        0.817378	        0.619481	    -4.46763e+12	       0.0416667	
        0.817378	        0.619481	    -4.46763e+12	            0.04	
        0.817378	        0.619481	    -4.46763e+12	       0.0384615	
        0.817378	        0.619481	    -4.46763e+12	        0.037037	
        0.817378	        0.619481	    -4.46763e+12	       0.0357143	
        0.817378	        0.619481	    -4.46763e+12	       0.0344828	
        0.817378	        0.619481	    -4.46763e+12	       0.0333333	
        0.817378	        0.619481	    -4.46763e+12	       0.0322581	
        0.817378	        0.619481	    -4.46763e+12	         0.03125	
        0.817378	        0.619481	    -4.46763e+12	        0.030303	
        0.817378	        0.619481	    -4.46763e+12	       0.0294118	
        0.817378	        0.619481	    -4.46763e+12	       0.0285714	
        0.817378	        0.619481	    -4.46763e+12	       0.0277778	
        0.817378	        0.619481	    -4.46763e+12	        0.027027	
        0.817378	        0.619481	    -4.46763e+12	       0.0263158	
        0.817378	        0.619481	    -4.46763e+12	        0.025641	
        0.817378	        0.619481	    -4.46763e+12	           0.025	
        0.817378	        0.619481	    -4.46763e+12	       0.0243902	
        0.817378	        0.619481	    -4.46763e+12	       0.0238095	
        0.817378	        0.619481	    -4.46763e+12	       0.0232558	
        0.817378	        0.619481	    -4.46763e+12	       0.0227273	
        0.817378	        0.619481	    -4.46763e+12	       0.0222222	
        0.817378	        0.619481	    -4.46763e+12	       0.0217391	
        0.817378	        0.619481	    -4.46763e+12	       0.0212766	
        0.817378	        0.619481	    -4.46763e+12	       0.0208333	
        0.817378	        0.619481	    -4.46763e+12	       0.0204082	
        0.817378	        0.619481	    -4.46763e+12	            0.02	
        0.817378	        0.619481	    -4.46763e+12	       0.0196078	
        0.817378	        0.619481	    -4.46763e+12	       0.0192308	
        0.817378	        0.619481	    -4.46763e+12	       0.0188679	
        0.817378	        0.619481	    -4.46763e+12	       0.0185185	
        0.817378	        0.619481	    -4.46763e+12	       0.0181818	
        0.817378	        0.619481	    -4.46763e+12	       0.0178571	
        0.817378	        0.619481	    -4.46763e+12	       0.0175439	
        0.817378	        0.619481	    -4.46763e+12	       0.0172414	
        0.817378	        0.619481	    -4.46763e+12	       0.0169492	
        0.817378	        0.619481	    -4.46763e+12	       0.0166667	
        0.817378	        0.619481	    -4.46763e+12	       0.0163934	
        0.817378	        0.619481	    -4.46763e+12	        0.016129	
        0.817378	        0.619481	    -4.46763e+12	        0.015873	
        0.817378	        0.619481	    -4.46763e+12	        0.015625	
        0.817378	        0.619481	    -4.46763e+12	       0.0153846	
        0.817378	        0.619481	    -4.46763e+12	       0.0151515	
        0.817378	        0.619481	    -4.46763e+12	       0.0149254	
        0.817378	        0.619481	    -4.46763e+12	       0.0147059	
        0.817378	        0.619481	    -4.46763e+12	       0.0144928	
        0.817378	        0.619481	    -4.46763e+12	       0.0142857	
        0.817378	        0.619481	    -4.46763e+12	       0.0140845	
        0.817378	        0.619481	    -4.46763e+12	       0.0138889	
        0.817378	        0.619481	    -4.46763e+12	       0.0136986	
        0.817378	        0.619481	    -4.46763e+12	       0.0135135	
        0.817378	        0.619481	    -4.46763e+12	       0.0133333	
        0.817378	        0.619481	    -4.46763e+12	       0.0131579	
        0.817378	        0.619481	    -4.46763e+12	        0.012987	
        0.817378	        0.619481	    -4.46763e+12	       0.0128205	
        0.817378	        0.619481	    -4.46763e+12	       0.0126582	
        0.817378	        0.619481	    -4.46763e+12	          0.0125	
        0.817378	        0.619481	    -4.46763e+12	       0.0123457	
        0.817378	        0.619481	    -4.46763e+12	       0.0121951	
        0.817378	        0.619481	    -4.46763e+12	       0.0120482	
        0.817378	        0.619481	    -4.46763e+12	       0.0119048	
